step,epoch,t,sample_loss,batch_loss
0,1,-1,,1.279500
1,1,-1,,1.144800
5,1,-1,,1.158100
10,1,-1,,1.084500
15,1,-1,,1.076800
20,1,-1,,1.014900
25,1,-1,,0.940000
30,1,-1,,0.952900
35,1,-1,,1.041800
40,1,-1,,0.873600
45,1,-1,,0.873000
50,1,-1,,0.937300
55,1,-1,,0.814000
60,1,-1,,0.778000
65,1,-1,,0.776500
70,1,-1,,0.770000
75,1,-1,,0.786400
80,1,-1,,0.775600
85,1,-1,,0.680100
90,1,-1,,0.672900
95,1,-1,,0.712400
100,1,-1,,0.732500
105,1,-1,,0.693000
110,1,-1,,0.772000
115,1,-1,,0.654600
120,1,-1,,0.743400
125,1,-1,,0.592700
130,1,-1,,0.642700
135,1,-1,,0.600200
140,1,-1,,0.741700
145,1,-1,,0.514200
150,1,-1,,0.709600
155,1,-1,,0.510800
160,1,-1,,0.496800
165,1,-1,,0.629000
170,1,-1,,0.560800
175,1,-1,,0.472600
180,1,-1,,0.478200
185,1,-1,,0.442100
190,1,-1,,0.399400
195,1,-1,,0.433000
200,1,-1,,0.791700
205,1,-1,,0.393800
210,1,-1,,0.446600
215,1,-1,,0.526200
220,1,-1,,0.361100
225,1,-1,,0.395700
230,1,-1,,0.338900
235,1,-1,,0.400100
240,1,-1,,0.365200
245,1,-1,,0.434400
250,1,-1,,0.451900
255,1,-1,,0.424500
260,1,-1,,0.315200
265,1,-1,,0.470300
270,1,-1,,0.349900
275,1,-1,,0.456700
280,1,-1,,0.312500
285,1,-1,,0.298600
290,1,-1,,0.278300
295,1,-1,,0.319600
300,1,-1,,0.242800
305,1,-1,,0.344700
310,1,-1,,0.470800
315,1,-1,,0.294400
320,1,-1,,0.253400
325,1,-1,,0.234900
330,1,-1,,0.259100
335,1,-1,,0.276400
340,1,-1,,0.357600
345,1,-1,,0.209500
350,1,-1,,0.251400
355,1,-1,,0.519500
360,1,-1,,0.247700
365,1,-1,,0.214000
370,1,-1,,0.246200
375,1,-1,,0.490200
380,1,-1,,0.248000
385,1,-1,,0.265900
390,1,-1,,0.204900
395,1,-1,,0.171500
400,1,-1,,0.328600
405,1,-1,,0.226400
410,1,-1,,0.537500
415,1,-1,,0.197900
420,1,-1,,0.405800
425,1,-1,,0.368400
430,1,-1,,0.226700
435,1,-1,,0.217900
440,1,-1,,0.305300
445,1,-1,,0.203500
450,1,-1,,0.214000
455,1,-1,,0.165300
460,1,-1,,0.190400
465,1,-1,,0.298200
470,1,-1,,0.179400
475,1,-1,,0.366800
480,1,-1,,0.156000
485,1,-1,,0.154500
490,1,-1,,0.162100
495,1,-1,,0.173100
500,1,-1,,0.150200
505,1,-1,,0.217700
510,1,-1,,0.180200
515,1,-1,,0.299900
520,1,-1,,0.142400
525,1,-1,,0.252500
530,1,-1,,0.148700
535,1,-1,,0.379900
540,1,-1,,0.168300
545,1,-1,,0.187800
550,1,-1,,0.124100
555,1,-1,,0.138100
560,1,-1,,0.192600
565,1,-1,,0.190200
570,1,-1,,0.160100
575,1,-1,,0.152900
580,1,-1,,0.218600
585,1,-1,,0.420500
590,1,-1,,0.133500
595,1,-1,,0.126700
600,1,-1,,0.258000
605,1,-1,,0.277100
610,1,-1,,0.374500
615,1,-1,,0.141600
620,1,-1,,0.252100
625,1,-1,,0.271100
630,1,-1,,0.182900
635,1,-1,,0.218000
640,1,-1,,0.213000
645,1,-1,,0.138800
650,1,-1,,0.183500
655,1,-1,,0.196200
660,1,-1,,0.145800
665,1,-1,,0.108700
670,1,-1,,0.114000
675,1,-1,,0.132900
680,1,-1,,0.221000
685,1,-1,,0.198500
690,1,-1,,0.148400
695,1,-1,,0.104600
700,1,-1,,0.104000
705,1,-1,,0.132100
710,1,-1,,0.268200
715,1,-1,,0.138900
720,1,-1,,0.134800
725,1,-1,,0.452200
730,1,-1,,0.132600
735,1,-1,,0.454300
740,1,-1,,0.116900
745,1,-1,,0.176900
750,1,-1,,0.108300
755,1,-1,,0.413100
760,1,-1,,0.104400
765,1,-1,,0.195600
770,1,-1,,0.123900
775,1,-1,,0.107000
780,1,-1,,0.167100
785,1,-1,,0.778200
790,1,-1,,0.100200
795,1,-1,,0.095600
800,1,-1,,0.108700
805,1,-1,,0.136400
810,1,-1,,0.096300
815,1,-1,,0.100100
820,1,-1,,0.289300
825,1,-1,,0.130500
830,1,-1,,0.149900
835,1,-1,,0.120200
840,1,-1,,0.132800
845,1,-1,,0.244900
850,1,-1,,0.216900
855,1,-1,,0.152000
860,1,-1,,0.121800
865,1,-1,,0.600800
870,1,-1,,0.125000
875,1,-1,,0.110300
880,1,-1,,0.101200
885,1,-1,,0.103500
890,1,-1,,0.092000
895,1,-1,,0.085200
900,1,-1,,0.164600
905,1,-1,,0.148500
910,1,-1,,0.093000
915,1,-1,,0.465000
920,1,-1,,0.143600
925,1,-1,,0.096700
930,1,-1,,0.264800
935,1,-1,,0.090100
940,1,-1,,0.091500
945,1,-1,,0.097200
950,1,-1,,0.145900
955,1,-1,,0.103000
960,1,-1,,0.098400
965,1,-1,,0.142800
970,1,-1,,0.120700
975,1,-1,,0.119700
980,1,-1,,0.121800
985,1,-1,,0.106300
990,1,-1,,0.161800
995,1,-1,,0.398900
1000,1,-1,,0.097100
1005,1,-1,,0.292300
1010,1,-1,,0.091800
1015,1,-1,,0.074600
1020,1,-1,,0.087800
1025,1,-1,,0.243000
1030,1,-1,,0.387000
1035,1,-1,,0.104900
1040,1,-1,,0.102600
1045,1,-1,,0.100900
1050,1,-1,,0.098000
1055,1,-1,,0.079800
1060,1,-1,,0.126600
1065,1,-1,,0.100600
1070,1,-1,,0.092800
1075,1,-1,,0.077000
1080,1,-1,,0.211100
1085,1,-1,,0.328100
1090,1,-1,,0.106800
1095,1,-1,,0.237000
1100,1,-1,,0.322200
1105,1,-1,,0.100900
1110,1,-1,,0.088400
1115,1,-1,,0.155500
1120,1,-1,,0.087300
1125,1,-1,,0.078300
1130,1,-1,,0.076600
1135,1,-1,,0.117600
1140,1,-1,,0.122100
1145,1,-1,,0.087300
1150,1,-1,,0.078000
1155,1,-1,,0.074200
1160,1,-1,,0.232200
1165,1,-1,,0.152200
1170,1,-1,,0.117200
1175,1,-1,,0.102700
1180,1,-1,,0.166900
1185,1,-1,,0.106300
1190,1,-1,,0.089500
1195,1,-1,,0.100000
1200,1,-1,,0.110900
1205,1,-1,,0.113000
1210,1,-1,,0.150100
1215,1,-1,,0.080900
1220,1,-1,,0.081100
1225,1,-1,,0.138400
1230,1,-1,,0.133300
1235,1,-1,,0.131200
1240,1,-1,,0.164800
1245,1,-1,,0.070100
1250,1,-1,,0.073300
1255,1,-1,,0.295000
1260,1,-1,,0.090200
1265,1,-1,,0.108400
1270,1,-1,,0.109400
1275,1,-1,,0.091800
1280,1,-1,,0.085700
1285,1,-1,,0.073600
1290,1,-1,,0.277700
1295,1,-1,,0.096400
1300,1,-1,,0.089300
1305,1,-1,,0.083600
1310,1,-1,,0.076800
1315,1,-1,,0.064900
1320,1,-1,,0.080300
1325,1,-1,,0.109300
1330,1,-1,,0.079900
1335,1,-1,,0.157100
1340,1,-1,,0.290700
1345,1,-1,,0.155500
1350,1,-1,,0.077600
1355,1,-1,,0.080100
1360,1,-1,,0.073300
1365,1,-1,,0.082700
1370,1,-1,,0.083700
1375,1,-1,,0.092000
1380,1,-1,,0.093400
1385,1,-1,,0.069400
1390,1,-1,,0.068500
1395,1,-1,,0.078600
1400,1,-1,,0.114000
1405,1,-1,,0.073500
1410,1,-1,,0.071600
1415,1,-1,,0.080700
1420,1,-1,,0.140100
1425,1,-1,,0.185600
1430,1,-1,,0.113200
1435,1,-1,,0.086000
1440,1,-1,,0.116900
1445,1,-1,,0.082400
1450,1,-1,,0.078200
1455,1,-1,,0.078300
1460,1,-1,,0.100100
1465,1,-1,,0.069800
1470,1,-1,,0.087600
1475,1,-1,,0.076500
1480,1,-1,,0.240700
1485,1,-1,,0.141900
1490,1,-1,,0.109800
1495,1,-1,,0.076200
1500,1,-1,,0.088000
1505,1,-1,,0.196800
1510,1,-1,,0.068200
1515,1,-1,,0.082100
1520,1,-1,,0.321500
1525,1,-1,,0.127900
1530,1,-1,,0.093100
1535,1,-1,,0.124900
1540,1,-1,,0.082500
1545,1,-1,,0.344400
1550,1,-1,,0.062600
1555,1,-1,,0.074800
1560,1,-1,,0.082200
1565,1,-1,,0.060500
1570,1,-1,,0.082000
1575,1,-1,,0.078000
1580,1,-1,,0.063400
1585,1,-1,,0.067200
1590,1,-1,,0.126300
1595,1,-1,,0.098200
1600,1,-1,,0.133800
1605,1,-1,,0.076700
1610,1,-1,,0.118800
1615,1,-1,,0.416000
1620,1,-1,,0.074900
1625,1,-1,,0.160100
1630,1,-1,,0.066500
1635,1,-1,,0.063700
1640,1,-1,,0.091900
1645,1,-1,,0.103200
1650,1,-1,,0.085200
1655,1,-1,,0.074400
1660,1,-1,,0.098100
1665,1,-1,,0.078500
1670,1,-1,,0.063500
1675,1,-1,,0.084800
1680,1,-1,,0.064600
1685,1,-1,,0.091800
1690,1,-1,,0.145800
1695,1,-1,,0.134700
1700,1,-1,,0.068800
1705,1,-1,,0.069200
1710,1,-1,,0.062700
1715,1,-1,,0.068500
1720,1,-1,,0.141100
1725,1,-1,,0.072600
1730,1,-1,,0.073200
